indicatorId,geoUnit,year,value,qualifier,magnitude
MATH.LOWERSEC,HRV,2022,67.06,,
MATH.LOWERSEC,HUN,2003,75.32060280738288,,
MATH.LOWERSEC,HUN,2007,69.26850795124417,,
MATH.LOWERSEC,HUN,2011,65.44757307215176,,
MATH.LOWERSEC,HUN,2015,66.86111244649483,,
MATH.LOWERSEC,HUN,2019,67.82931686283274,,
MATH.LOWERSEC,HUN,2023,64.63,,
MATH.LOWERSEC,IDN,2000,26.4718503995993,,
MATH.LOWERSEC,IDN,2003,21.8633389869,,
MATH.LOWERSEC,IDN,2006,34.23571970386728,,
MATH.LOWERSEC,IDN,2009,23.330325396918,,
MATH.LOWERSEC,IDN,2012,24.30605843814475,,
MATH.LOWERSEC,IDN,2015,31.35022112354342,,
MATH.LOWERSEC,IDN,2018,28.1362979297291,,
MATH.LOWERSEC,IDN,2022,18.34,,
MATH.LOWERSEC,IRL,2000,84.4622009925533,,
MATH.LOWERSEC,IRL,2003,83.19021781589998,,
MATH.LOWERSEC,IRL,2006,83.58447426364216,,
MATH.LOWERSEC,IRL,2009,79.18691657419598,,
MATH.LOWERSEC,IRL,2012,83.10330332211964,,
MATH.LOWERSEC,IRL,2015,85.02273123158767,,
MATH.LOWERSEC,IRL,2018,84.31306404230203,,
MATH.LOWERSEC,IRL,2022,80.97,,
MATH.LOWERSEC,IRN,2003,19.8974060875624,,
MATH.LOWERSEC,IRN,2007,19.7006478866638,,
MATH.LOWERSEC,IRN,2011,25.53130407653244,,
MATH.LOWERSEC,IRN,2015,34.14568946907867,,
MATH.LOWERSEC,IRN,2019,37.13630000771609,,
MATH.LOWERSEC,IRN,2023,28.55,,
MATH.LOWERSEC,ISL,2000,87.1927484714998,,
MATH.LOWERSEC,ISL,2003,84.9981437252,,
MATH.LOWERSEC,ISL,2006,83.18169680958677,,
MATH.LOWERSEC,ISL,2009,83.04625563853101,,
MATH.LOWERSEC,ISL,2012,78.5238072917434,,
MATH.LOWERSEC,ISL,2015,76.38493034622235,,
MATH.LOWERSEC,ISL,2018,79.31080476497104,,
MATH.LOWERSEC,ISL,2022,65.88000000000001,,
MATH.LOWERSEC,ISR,2000,55.992483040302,,
MATH.LOWERSEC,ISR,2006,58.02476726503343,,
MATH.LOWERSEC,ISR,2009,60.546755114364,,
MATH.LOWERSEC,ISR,2012,66.49782527946584,,
MATH.LOWERSEC,ISR,2015,67.87280362196866,,
MATH.LOWERSEC,ISR,2018,65.90477654697789,,
MATH.LOWERSEC,ISR,2022,62.75,,
MATH.LOWERSEC,ITA,2003,55.81756828995985,,
MATH.LOWERSEC,ITA,2007,53.66197311876129,,
MATH.LOWERSEC,ITA,2011,63.7843740659853,,
MATH.LOWERSEC,ITA,2015,62.35678297718989,,
MATH.LOWERSEC,ITA,2019,62.43360860553337,,
MATH.LOWERSEC,ITA,2023,61.36999999999999,,
MATH.LOWERSEC,JAM,2022,26.17,,
MATH.LOWERSEC,JOR,2006,33.64847964137476,,
MATH.LOWERSEC,JOR,2009,34.73094382046,,
MATH.LOWERSEC,JOR,2012,31.43781427616013,,
MATH.LOWERSEC,JOR,2015,32.47076560237228,,
MATH.LOWERSEC,JOR,2018,40.67431049375521,,
MATH.LOWERSEC,JOR,2022,17.15,,
MATH.LOWERSEC,JPN,2003,88.209412277528,,
MATH.LOWERSEC,JPN,2007,86.78768459771288,,
MATH.LOWERSEC,JPN,2011,86.77944574702353,,
MATH.LOWERSEC,JPN,2015,89.10153412100104,,
MATH.LOWERSEC,JPN,2019,91.71425521487622,,
MATH.LOWERSEC,JPN,2023,91.73,,
MATH.LOWERSEC,KAZ,2009,40.862001711199,,
MATH.LOWERSEC,KAZ,2012,54.75641321930628,,
MATH.LOWERSEC,KAZ,2018,50.89997688915788,,
MATH.LOWERSEC,KAZ,2022,50.42,,
MATH.LOWERSEC,KGZ,2006,10.58831818936492,,
MATH.LOWERSEC,KGZ,2009,13.368969300999,,
MATH.LOWERSEC,KHM,2017,9.881922608945546,,
MATH.LOWERSEC,KHM,2022,11.99,,
MATH.LOWERSEC,KOR,2000,92.7714714735394,,
MATH.LOWERSEC,KOR,2003,90.48052729669999,,
MATH.LOWERSEC,KOR,2006,91.14493839435681,,
MATH.LOWERSEC,KOR,2009,91.874637192907,,
MATH.LOWERSEC,KOR,2012,90.86689318804906,,
MATH.LOWERSEC,KOR,2015,84.53711441691878,,
MATH.LOWERSEC,KOR,2018,85.00147319619408,,
MATH.LOWERSEC,KOR,2022,83.78,,
MATH.LOWERSEC,KWT,2007,6.006919328059511,,
MATH.LOWERSEC,KWT,2015,18.26236875793618,,
MATH.LOWERSEC,KWT,2019,21.17530943939211,,
MATH.LOWERSEC,KWT,2023,20.8,,
MATH.LOWERSEC,LBN,2003,26.94505399373901,,
MATH.LOWERSEC,LBN,2007,36.49660694194767,,
